103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
汐止區(第10選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
2296,仁德市民活動中心,和平街６巷１弄１號,仁德里,全里,,,
2297,汐止區老人活動中心,公園路２號,義民里,全里,,,
2298,汐止國民中學,大同路二段３９４號,禮門里,全里,,,
2299,汐止國民小學,大同路二段３１３號,智慧里,1-14,,,
2300,汐止國民小學,大同路二段３１３號,智慧里,15-24,,,
2301,汐止國民小學,大同路二段３１３號,大同里,1-14,,,
2302,汐止國民小學,大同路二段３１３號,大同里,15-23,,,
2303,信望、義民市民活動中心,公園路６號,信望里,全里,,,
2304,虎形山福德宮,招商街１號,新昌里,"1-5,7,8,33-35",,,
2305,新昌市民活動中心,仁愛路３１８號,新昌里,"6,21,23-32",,,
2306,秀峰高級中學,忠孝東路２０１號,新昌里,"9-20,22",,,
2307,秀峰國民小學,仁愛路９０號,福安里,"1-5,7-9",,,
2308,秀峰國民小學,仁愛路９０號,福安里,"6,10-12",,,
2309,秀峰國民小學,仁愛路９０號,福安里,13-16,,,
2310,秀峰高級中學,忠孝東路２０１號,秀峰里,1-3,,,
2311,秀峰高級中學,忠孝東２０１號,秀峰里,"4,10,11,15-23",,,
2312,秀峰國民小學,仁愛路９０號,秀峰里,"5-9,12-14",,,
2313,秀峰國民小學,仁愛路９０號,秀山里,1-11,,,
2314,秀峰國民小學,仁愛路９０號,秀山里,12-26,,,
2315,復興市民活動中心,復興路２號前,復興里,"1-7,9,15",,,
2316,陽光四季社區中庭,龍安路３６號,復興里,"10,19-24",,,
2317,陽光四季社區中庭,龍安路３６號,復興里,"8,11-14,16-18",,,
2318,青山國中小,莊敬街３３號,自強里,1-8,,,
2319,青山國中小,莊敬街３３號,自強里,9-18,,,
2320,青山國中小,莊敬街３３號,自強里,19-25,,,
2321,文化市民活動中心,汐碇路１４巷２弄１１號之２,文化里,1-13,,,
2322,福興宮(地下室),汐碇路１４巷２弄１１號之１,文化里,14-21,,,
2323,白雲市民活動中心,水源路二段１１２號,白雲里,1-16,,,
2324,白雲市民活動中心,水源路二段１１２號,白雲里,17-26,,,
2325,崇德國民小學,茄苳路１５８號,茄苳里,1-8,,,
2326,崇德國民小學,茄苳路１５８號,茄苳里,9-15,,,
2327,崇德國民小學,茄苳路１５８號,茄苳里,16-27,,,
2328,崇德國民小學,茄苳路１５８號,崇德里,1-12,,,
2329,崇德國民小學,茄苳路１５８號,崇德里,13-25,,,
2330,江山萬里社區會議室,新台五路二段１７０至２１８號,崇德里,26-29,,,
2331,建成市場,建成路３７巷６號,城中里,1-13,,,
2332,建成市場,建成路３７巷６號,城中里,14-28,,,
2333,摩登家庭社區,忠孝東路４２4至４２８號,橋東里,1-9,,變更,
2334,華慶幼兒園,忠孝東路４４７、４４９號,橋東里,10-20,,,
2335,青年守則商場,建成路５８號前,建成里,1-9,,,
2336,青年守則商場,建成路５６巷９號前,建成里,10-18,,,
2337,貨櫃聯絡道橋下籃球場,鄉長路一段４５巷旁,建成里,19-23,,新增,
2338,長安市民活動中心,長興街一段５０號,長安里,全里,,,
2339,保長國民小學,大同路三段５５３號,保安里,全里,,,
2340,東山國民小學,汐平路二段７６號,東山里,全里,,,
2341,保長市民活動中心,保長路５１巷１１號,保長里,11-21,,,
2342,長安慈惠堂,長興街二段５０巷５０號,保長里,"1-10,22",,,
2343,摩天鎮社區聯誼室,大同路三段６１７號,保新里,3-9,,,
2344,保長坑橋頭福德宮,大同路三段４２４號,保新里,"1,2,10-13",,新增,
2345,鄉長市民活動中心,鄉友街１０號,鄉長里,全里,,,
2346,江北里老人休閒中心,長江街７１號對面,江北里,"1-5,28-30",,,
2347,江北市民活動中心,汐萬路一段８１號,江北里,"6-14,24-27",,,
2348,福正宮(土地公廟),汐萬路一段３１２號,江北里,15-23,,,
2349,北港國民小學,汐萬路二段２７９號,拱北里,1-8,,,
2350,北港國民小學,汐萬路二段２７９號,拱北里,"9,11-17",,,
2351,雙璽帝堡大廈管理委員會,汐萬路二段２２８巷３１弄１號,拱北里,"10,18-31",,新增,
2352,烘內市民活動中心,汐萬路三段２５２巷２７號,烘內里,全里,,,
2353,福興宮自強育樂中心,八連路一段２５３號,八連里,全里,,,
2354,國家公園別墅活動中心,長青路１３４號,長青里,全里,,,
2355,金龍國民小學,明峰街２０１號,北峰里,1-15,,,
2356,金龍國民小學,明峰街２０１號,北峰里,16-26,,,
2357,金龍國民小學,明峰街２０１號,金龍里,1-13,,,
2358,金龍國民小學,明峰街２０１號,金龍里,"14-23,37",,,
2359,金龍市民活動中心,湖前街３１巷２弄２號,金龍里,24-36,,,
2360,樟樹市民活動中心,大同路一段３３９號之２,樟樹里,全里,,,
2361,和德宮會議廳,樟樹一路１２９巷３４弄６號,忠孝里,"10,12,14,16,24-27",,,
2362,忠孝市民活動中心,工建路６２號,忠孝里,"13,15,19,28-34",,,
2363,樟樹國民中學,樟樹二路１３５號,忠孝里,"2-9,11,17",,,
2364,樟樹國民中學,樟樹二路１３５號,忠孝里,"1,18,20-23,35-38",,,
2365,樟樹國民小學,樟樹一路１４１巷２號,厚德里,1-12,,,
2366,樟樹國民小學,樟樹一路１４１巷２號,厚德里,13-19,,,
2367,樟樹國民小學,樟樹一路１４１巷２號,厚德里,"20-25,29",,,
2368,樟樹國民小學,樟樹一路１４１巷２號,厚德里,"26-28,30",,,
2369,樟樹國民中學,樟樹二路１３５號,山光里,"1,2,5",,,
2370,樟樹國民中學,樟樹二路１３５號,山光里,"3,4,6-14",,,
2371,北峰國民小學,環河街１號,中興里,1-9,,,
2372,北峰國民小學,環河街１號,中興里,10-14,,,
2373,北峰國民小學,環河街１號,中興里,15-24,,,
2374,北峰國民小學,環河街１號,中興里,25-32,,新增,
2375,北峰國民小學,環河街１號,福德里,1-10,,,
2376,北峰國民小學,環河街１號,福德里,11-18,,,
2377,興福市民活動中心,福德一路１４１巷５２號,興福里,1-9,,,
2378,朝熙大樓,福德路３８號,興福里,10-20,,變更,
2379,康福市民活動中心(2樓),福德三路９號,康福里,1-16,,變更,
2380,康福市民活動中心(1樓),福德三路９號,康福里,"23,24",,變更,
2381,長堤社區管理中心,福德一路１０９之２號,康福里,17-22,,,
2382,湖光市民活動中心,康寧街５２０之１號,湖光里,"1-8,10",,,
2383,湖光餐廳旁停車場,康寧街６８０號之２旁,湖光里,"9,11-22",,,
2384,日月光社區活動中心,康寧街７５１巷１３號地下1樓,湖光里,23-30,,,
2385,水蓮山莊A3棟旁空地,湖前街１１０巷９７弄３號,湖蓮里,1-6,,新增,
2386,水蓮山莊服務中心前空地,湖前街１１０巷９７弄２４號,湖蓮里,7-12,,,
2387,聯合幼兒園,翠峰街２巷２號,湖興里,"1-10,12-14",,,
2388,伯爵五代社區活動中心,伯爵街３５巷口,湖興里,"11,15-22",,,
2389,博市社區活動活中心,伯爵街９６巷底,湖興里,"29,30,35-38",,,
2390,伯爵夫人社區管理中心,伯爵街５７巷口,湖興里,"23-28,31-34",,新增,
2391,三和舊市場空地 ,康寧街６１巷２之１號,北山里,"1,2,4,5,7,13",,,
2392,大湖國家管理委員會,康寧街１４１巷２０弄１之８號,北山里,"3,6,8-12",,變更,
2393,北山市民活動中心,明峰街２９８巷３弄旁,北山里,16-22,,,
2394,紫明代天府建凌宮(五府千歲),明峰街２８８號,北山里,"14,15,23-25",,新增,
2395,瓏山林社區,忠三街２６巷３３號,忠山里,13-22,,,
2396,忠山市民活動中心,忠三街８號,忠山里,1-12,,,
2397,環河市民活動中心,南陽街１２３號之１,環河里,全里,,,
2398,橫科市民活動中心(2樓),橫科路１１９號,橫科里,1-20,,,
2399,橫科市民活動中心(1樓),橫科路１１９號,橫科里,21-42,,,
2400,白雲國民小學,民權街二段９０號,福山里,1-10,,,
2401,白雲國民小學,民權街二段９０號,福山里,11-18,,,
2402,名人社區管理委員會,宜興街５０巷１號２樓,宜興里,1-13,,,
2403,宜興福德宮,林森街７０號,宜興里,14-25,,,
2404,宜興、東勢市民活動中心,東勢街１５號之１,東勢里,"1-6,17,18",,,
2405,北后雲天宮,東勢街７６巷２６號,東勢里,"7-9,12,16",,新增,
2406,研究苑別墅社區管理委員會管理中心,東勢街２０１巷１２９弄２號,東勢里,"10,11,13-15,19-21",,,